CH1V,CH2V,CH3V,t0 =-5.000000e-05, tInc = 3.200000e-09,
+3.102400e+00,+3.096667e+00,-8.000000e-03,,
+3.088800e+00,+3.098933e+00,+1.000000e-02,,
+3.102400e+00,+3.085333e+00,-2.160000e-02,,
+3.084400e+00,+3.094400e+00,+2.133333e-02,,
+3.091067e+00,+3.096667e+00,+1.453333e-02,,
+3.086667e+00,+3.101200e+00,+1.453333e-02,,
+3.091067e+00,+3.098933e+00,-8.000000e-03,,
+3.097867e+00,+3.110133e+00,+1.680000e-02,,
+3.102400e+00,+3.094400e+00,-3.466667e-03,,
+3.093333e+00,+3.098933e+00,+2.573333e-02,,
+3.100133e+00,+3.096667e+00,-2.160000e-02,,
+3.086667e+00,+3.098933e+00,+3.480000e-02,,
+3.097867e+00,+3.096667e+00,-1.480000e-02,,
+3.091067e+00,+3.098933e+00,+1.906667e-02,,
+3.109067e+00,+3.092133e+00,-1.026667e-02,,
+3.082133e+00,+3.089867e+00,+2.133333e-02,,
+3.097867e+00,+3.085333e+00,-8.000000e-03,,
+3.091067e+00,+3.089867e+00,+1.226667e-02,,
+3.093333e+00,+3.089867e+00,+9.333334e-04,,
+3.091067e+00,+3.098933e+00,+2.133333e-02,,
+3.102400e+00,+3.092133e+00,+5.466667e-03,,
+3.093333e+00,+3.094400e+00,+2.800000e-02,,
+3.102400e+00,+3.098933e+00,+5.466667e-03,,
+3.097867e+00,+3.112400e+00,+1.453333e-02,,
+3.109067e+00,+3.101200e+00,-5.733334e-03,,
+3.091067e+00,+3.101200e+00,+2.133333e-02,,
+3.100133e+00,+3.103333e+00,-1.480000e-02,,
+3.091067e+00,+3.105600e+00,+2.133333e-02,,
+3.091067e+00,+3.096667e+00,+1.000000e-02,,
+3.097867e+00,+3.098933e+00,+2.133333e-02,,
+3.097867e+00,+3.092133e+00,+5.466667e-03,,
+3.091067e+00,+3.094400e+00,+2.800000e-02,,
+3.091067e+00,+3.089867e+00,+7.733333e-03,,
+3.095600e+00,+3.101200e+00,+1.906667e-02,,
+3.104667e+00,+3.092133e+00,+9.333334e-04,,
+3.082133e+00,+3.094400e+00,+2.800000e-02,,
+3.102400e+00,+3.101200e+00,+5.466667e-03,,
+3.091067e+00,+3.101200e+00,+3.253333e-02,,
+3.102400e+00,+3.089867e+00,-1.200000e-03,,
+3.088800e+00,+3.098933e+00,+2.800000e-02,,
+3.097867e+00,+3.098933e+00,-1.200000e-03,,
+3.079867e+00,+3.094400e+00,+1.906667e-02,,
+3.097867e+00,+3.092133e+00,-3.466667e-03,,
+3.086667e+00,+3.098933e+00,+2.800000e-02,,
+3.093333e+00,+3.105600e+00,+9.333334e-04,,
+3.084400e+00,+3.105600e+00,+2.133333e-02,,
+3.097867e+00,+3.094400e+00,+1.000000e-02,,
+3.091067e+00,+3.098933e+00,+3.253333e-02,,
+3.104667e+00,+3.101200e+00,-3.466667e-03,,
+3.093333e+00,+3.107867e+00,+1.906667e-02,,
+3.102400e+00,+3.094400e+00,-2.160000e-02,,
+3.095600e+00,+3.103333e+00,+2.573333e-02,,
+3.111333e+00,+3.101200e+00,-3.466667e-03,,
+3.100133e+00,+3.105600e+00,+1.680000e-02,,
+3.102400e+00,+3.112400e+00,-3.466667e-03,,
+3.100133e+00,+3.110133e+00,+3.026667e-02,,
